iter	RMSE
0	19.38418541
1	19.31793111
2	19.25864379
3	19.20001892
4	19.15284993
5	19.10469334
6	19.06278799
7	19.02176739
8	18.98363575
9	18.94913444
10	18.91295171
11	18.88255795
12	18.85270396
13	18.82441508
14	18.79724087
15	18.77143884
16	18.74660186
17	18.72341873
18	18.70153756
19	18.67797682
20	18.65905748
21	18.64081218
22	18.62233929
23	18.60623799
24	18.59177017
25	18.57667994
26	18.56395334
27	18.54882252
28	18.5363974
29	18.52246302
30	18.51043339
31	18.49946445
32	18.487241
33	18.47737866
34	18.46786155
35	18.4550852
36	18.44258792
37	18.43509747
38	18.42658763
39	18.41869073
40	18.40762329
41	18.39750044
42	18.38901181
43	18.381006
44	18.37131095
45	18.36305598
46	18.35240685
47	18.34707563
48	18.33875339
49	18.33067878
50	18.32431134
51	18.31765359
52	18.31144942
53	18.30487113
54	18.29798006
55	18.29340597
56	18.28965744
57	18.28491587
58	18.27841261
59	18.27439856
60	18.26787429
61	18.26151056
62	18.25488581
63	18.24841982
64	18.24329749
65	18.23876379
66	18.23404515
67	18.22989868
68	18.22628791
69	18.22089264
70	18.21693607
71	18.21204769
72	18.20883926
73	18.20407506
74	18.19947914
75	18.19583272
76	18.19059392
77	18.18765594
78	18.18265476
79	18.18012927
80	18.17434577
81	18.16912005
82	18.16462814
83	18.16098385
84	18.15815868
85	18.15408021
86	18.15032556
87	18.1470213
88	18.14359269
89	18.13973925
90	18.13675603
91	18.13348524
92	18.12946188
93	18.12686938
94	18.12312993
95	18.11988602
96	18.11582888
97	18.11271475
98	18.11002879
99	18.1063417
100	18.1036083
101	18.10050772
102	18.09751807
103	18.09522857
104	18.09261956
105	18.08991585
106	18.08716676
107	18.08494074
108	18.08241582
109	18.0785368
110	18.07386543
111	18.07118667
112	18.06830209
113	18.06586347
114	18.06430283
115	18.0619725
116	18.05927496
117	18.05679904
118	18.0543725
119	18.05232703
120	18.05026048
121	18.0474127
122	18.0435
123	18.04194464
124	18.03842564
125	18.03573342
126	18.0338983
127	18.03177796
128	18.03084032
129	18.02904616
130	18.026651
131	18.02455738
132	18.02189758
133	18.01920164
134	18.01788921
135	18.01509139
136	18.01285334
137	18.01080681
138	18.00842407
139	18.00601704
140	18.00273694
141	18.00102341
142	17.99900593
143	17.99794291
144	17.99636571
145	17.99427561
146	17.99255338
147	17.99145543
148	17.9884736
149	17.98738837
150	17.98477406
151	17.98191301
152	17.97937316
153	17.97669013
154	17.97572043
155	17.9732207
156	17.97140207
157	17.96848796
158	17.96500778
159	17.96290695
160	17.96167532
161	17.96087042
162	17.95794451
163	17.95543266
164	17.95333022
165	17.95126139
166	17.94938685
167	17.94785397
168	17.94588526
169	17.94379313
170	17.94142274
171	17.9401825
172	17.93879068
173	17.93695128
174	17.93505654
175	17.93357786
176	17.93187889
177	17.93005374
178	17.92843237
179	17.92581954
180	17.92398688
181	17.9216256
182	17.9192405
183	17.91810645
184	17.91636639
185	17.91452317
186	17.9125967
187	17.9108959
188	17.90861832
189	17.90689212
190	17.90445151
191	17.90259479
192	17.90108065
193	17.90021033
194	17.89907465
195	17.89763027
196	17.89546956
197	17.89350843
198	17.89233779
199	17.89032256
200	17.88808274
201	17.88706802
202	17.88571413
203	17.88338874
204	17.88111842
205	17.87988994
206	17.87838697
207	17.87740413
208	17.87620785
209	17.87495888
210	17.87299773
211	17.87167447
212	17.86959764
213	17.86765707
214	17.86680113
215	17.86475883
216	17.86326995
217	17.86106797
218	17.86024525
219	17.85876194
220	17.85748604
221	17.85632739
222	17.85477703
223	17.85362646
224	17.8518307
225	17.85003901
226	17.84802843
227	17.84650258
228	17.8442792
229	17.84208998
230	17.84083222
231	17.83963358
232	17.83753465
233	17.83549102
234	17.83415642
235	17.83229401
236	17.83101396
237	17.82821677
238	17.82650922
239	17.82487942
240	17.82290383
241	17.82141629
242	17.82016949
243	17.81797859
244	17.81688496
245	17.81451521
246	17.81337152
247	17.81193207
248	17.81023787
249	17.80824346
250	17.80670689
251	17.80489724
252	17.80288039
253	17.80062879
254	17.79896196
255	17.79751504
256	17.79558653
257	17.79424138
258	17.7929671
259	17.7913114
260	17.78981802
261	17.78831058
262	17.78640318
263	17.78533154
264	17.78386223
265	17.78214426
266	17.78038523
267	17.77793194
268	17.77650453
269	17.7747399
270	17.77296275
271	17.77094857
272	17.76928695
273	17.76800733
274	17.7663507
275	17.76528569
276	17.76376262
277	17.76186865
278	17.76065849
279	17.75901183
280	17.75768965
281	17.75572127
282	17.75463652
283	17.75322647
284	17.75170277
285	17.7504648
286	17.7475715
287	17.74640599
288	17.74467531
289	17.74233062
290	17.74112853
291	17.73980318
292	17.73813629
293	17.73642947
294	17.73438765
295	17.73241999
296	17.73066507
297	17.72884865
298	17.72738502
299	17.725906
300	17.72414296
301	17.72255463
302	17.72141056
303	17.72018067
304	17.71887672
305	17.71745997
306	17.71620159
307	17.71506187
308	17.7128676
309	17.71090749
310	17.70938083
311	17.70709394
312	17.70540153
313	17.70366745
314	17.70179928
315	17.69981537
316	17.69880262
317	17.69737287
318	17.69567147
319	17.69425014
320	17.69290094
321	17.69075894
322	17.68947529
323	17.68839231
324	17.6874631
325	17.68591051
326	17.68495002
327	17.68301709
328	17.68114537
329	17.67946647
330	17.67770523
331	17.67624697
332	17.67479403
333	17.67377035
334	17.67181937
335	17.67028803
336	17.66863367
337	17.66695027
338	17.6656803
339	17.66503592
340	17.66338369
341	17.66134524
342	17.65999852
343	17.65832668
344	17.65660647
345	17.65515808
346	17.65410723
347	17.65248088
348	17.65056572
349	17.64906781
350	17.6479964
351	17.64683156
352	17.6454768
353	17.64463121
354	17.64273535
355	17.64186518
356	17.64074037
357	17.63975748
358	17.63843188
359	17.63735429
360	17.6362608
361	17.63453691
362	17.6334424
363	17.63232217
364	17.63118849
365	17.62957138
366	17.62766599
367	17.62617465
368	17.62494657
369	17.62356419
370	17.62264679
371	17.62138508
372	17.61994557
373	17.61899174
374	17.61783419
375	17.61705573
376	17.61611445
377	17.61468244
378	17.61366282
379	17.61216612
380	17.6109765
381	17.61016589
382	17.60896325
383	17.60697443
384	17.605447
385	17.60340026
386	17.6022193
387	17.60091724
388	17.59950448
389	17.598194
390	17.59651556
391	17.5949379
392	17.593552
393	17.59254402
394	17.59116806
395	17.59021391
396	17.58885461
397	17.58827915
398	17.58687884
399	17.58566031
400	17.5841349
401	17.58317916
402	17.5815822
403	17.58072753
404	17.57938237
405	17.57857005
406	17.57734559
407	17.57612179
408	17.57462071
409	17.57353523
410	17.57237738
411	17.57113943
412	17.56989129
413	17.5690349
414	17.56784289
415	17.56683781
416	17.56581878
417	17.56474124
418	17.56333742
419	17.5616362
420	17.56030198
421	17.55882596
422	17.55772968
423	17.55645693
424	17.55517077
425	17.55389897
426	17.55311495
427	17.551523
428	17.55026651
429	17.54882509
430	17.54740555
431	17.54641462
432	17.545057
433	17.54407217
434	17.54318421
435	17.54191383
436	17.54076303
437	17.53955096
438	17.53866525
439	17.53738777
440	17.53638692
441	17.53544526
442	17.53416376
443	17.53248037
444	17.53148982
445	17.53010077
446	17.52900136
447	17.52797833
448	17.52617042
449	17.5251954
450	17.52400902
451	17.52261233
452	17.5210464
453	17.51965604
454	17.51824552
455	17.51674204
456	17.51542386
457	17.51431222
458	17.51316181
459	17.51210255
460	17.51088269
461	17.50997081
462	17.5084909
463	17.50750472
464	17.50616465
465	17.50500246
466	17.50339182
467	17.50173474
468	17.5005359
469	17.49900937
470	17.49775065
471	17.49665918
472	17.495856
473	17.49437072
474	17.49380502
475	17.49255946
476	17.49153377
477	17.49043097
478	17.48911467
479	17.48734877
480	17.48605904
481	17.48496143
482	17.48364769
