iter	Passed	Remaining
0	97	48658
1	115	28872
2	142	23549
3	177	21983
4	198	19609
5	238	19655
6	264	18596
7	287	17654
8	320	17501
9	353	17320
10	376	16727
11	401	16325
12	451	16901
13	506	17565
14	526	17018
15	585	17698
16	703	19994
17	827	22151
18	853	21599
19	917	22016
20	1042	23785
21	1119	24313
22	1173	24342
23	1211	24026
24	1252	23799
25	1286	23457
26	1319	23119
27	1357	22879
28	1398	22718
29	1433	22454
30	1472	22281
31	1496	21883
32	1518	21489
33	1554	21307
34	1579	20985
35	1607	20721
36	1641	20541
37	1665	20252
38	1684	19908
39	1706	19619
40	1729	19359
41	1760	19197
42	1780	18924
43	1826	18931
44	1844	18649
45	1876	18522
46	1897	18285
47	1923	18113
48	1945	17910
49	1979	17816
50	2011	17710
51	2041	17590
52	2067	17440
53	2156	17812
54	2182	17659
55	2225	17645
56	2259	17562
57	2279	17367
58	2330	17418
59	2353	17262
60	2366	17029
61	2407	17007
62	2434	16890
63	2464	16792
64	2491	16674
65	2519	16568
66	2552	16494
67	2574	16357
68	2610	16305
69	2701	16592
70	2764	16705
71	2789	16580
72	2810	16438
73	2830	16296
74	2850	16150
75	2889	16119
76	2910	15989
77	2934	15875
78	2951	15731
79	2972	15606
80	2985	15441
81	3011	15350
82	3032	15238
83	3052	15118
84	3085	15063
85	3136	15099
86	3153	14972
87	3174	14860
88	3202	14788
89	3228	14706
90	3254	14626
91	3284	14567
92	3324	14549
93	3352	14479
94	3372	14378
95	3413	14363
96	3436	14276
97	3472	14243
98	3505	14197
99	3535	14140
100	3550	14028
101	3585	13990
102	3613	13929
103	3643	13874
104	3685	13862
105	3719	13825
106	3748	13767
107	3776	13708
108	3792	13605
109	3827	13569
110	3852	13502
111	3882	13449
112	3908	13386
113	3943	13351
114	3965	13275
115	3997	13232
116	4026	13179
117	4049	13109
118	4068	13025
119	4083	12930
120	4100	12842
121	4125	12783
122	4150	12721
123	4189	12704
124	4232	12698
125	4281	12707
126	4323	12698
127	4343	12623
128	4364	12551
129	4385	12482
130	4407	12414
131	4425	12338
132	4444	12264
133	4467	12201
134	4500	12166
135	4536	12142
136	4570	12111
137	4602	12072
138	4634	12036
139	4658	11978
140	4694	11953
141	4731	11929
142	4761	11887
143	4784	11828
144	4810	11776
145	4834	11721
146	4864	11680
147	4892	11635
148	4929	11613
149	4955	11563
150	4981	11512
151	5003	11455
152	5024	11395
153	5064	11379
154	5093	11336
155	5117	11283
156	5131	11209
157	5177	11208
158	5204	11162
159	5226	11106
160	5251	11058
161	5291	11040
162	5323	11007
163	5344	10950
164	5367	10897
165	5395	10855
166	5427	10822
167	5467	10805
168	5487	10748
169	5517	10710
170	5535	10650
171	5546	10577
172	5569	10528
173	5601	10493
174	5635	10466
175	5653	10407
176	5672	10351
177	5691	10296
178	5714	10247
179	5740	10205
180	5768	10166
181	5791	10119
182	5814	10071
183	5837	10024
184	5864	9985
185	5888	9940
186	5910	9892
187	5948	9872
188	5973	9828
189	5992	9776
190	6014	9729
191	6034	9679
192	6072	9659
193	6105	9630
194	6123	9577
195	6157	9549
196	6177	9501
197	6198	9453
198	6224	9414
199	6252	9378
200	6305	9379
201	6341	9355
202	6374	9326
203	6406	9296
204	6452	9285
205	6473	9238
206	6496	9195
207	6517	9149
208	6545	9113
209	6561	9060
210	6572	9001
211	6581	8940
212	6605	8900
213	6645	8881
214	6665	8835
215	6692	8800
216	6707	8747
217	6719	8691
218	6735	8642
219	6756	8598
220	6783	8564
221	6812	8530
222	6837	8493
223	6858	8450
224	6882	8411
225	6929	8401
226	6970	8382
227	6998	8349
228	7030	8319
229	7051	8277
230	7083	8248
231	7110	8213
232	7131	8171
233	7164	8144
234	7183	8100
235	7217	8074
236	7252	8047
237	7293	8028
238	7328	8002
239	7374	7988
240	7400	7953
241	7444	7937
242	7465	7895
243	7497	7866
244	7515	7821
245	7548	7793
246	7569	7753
247	7597	7720
248	7646	7707
249	7672	7672
250	7704	7642
251	7723	7601
252	7750	7566
253	7768	7523
254	7776	7471
255	7785	7420
256	7793	7369
257	7805	7321
258	7826	7282
259	7863	7258
260	7899	7234
261	7928	7202
262	7940	7155
263	7966	7121
264	7980	7077
265	7998	7036
266	8021	6999
267	8051	6969
268	8073	6933
269	8090	6891
270	8110	6853
271	8130	6814
272	8146	6774
273	8187	6753
274	8213	6719
275	8234	6682
276	8267	6655
277	8304	6631
278	8329	6598
279	8370	6577
280	8413	6557
281	8444	6527
282	8474	6497
283	8498	6463
284	8520	6427
285	8549	6397
286	8588	6373
287	8608	6336
288	8632	6302
289	8676	6283
290	8693	6243
291	8712	6206
292	8749	6181
293	8761	6138
294	8789	6107
295	8821	6079
296	8851	6049
297	8872	6014
298	8917	5994
299	8947	5965
300	8973	5932
301	9002	5901
302	9019	5864
303	9039	5828
304	9057	5790
305	9085	5760
306	9103	5722
307	9126	5689
308	9145	5653
309	9156	5611
310	9167	5570
311	9175	5529
312	9184	5487
313	9193	5446
314	9204	5405
315	9213	5364
316	9222	5323
317	9231	5283
318	9252	5249
319	9294	5228
320	9329	5202
321	9374	5182
322	9401	5151
323	9418	5116
324	9442	5084
325	9477	5058
326	9506	5029
327	9526	4995
328	9568	4973
329	9587	4938
330	9618	4910
331	9643	4879
332	9671	4850
333	9691	4816
334	9726	4790
335	9745	4756
336	9769	4725
337	9788	4691
338	9807	4658
339	9824	4623
340	9842	4589
341	9868	4559
342	9889	4526
343	9909	4493
344	9943	4467
345	9975	4440
346	10008	4413
347	10035	4383
348	10057	4351
349	10075	4318
350	10099	4287
351	10118	4254
352	10144	4224
353	10161	4191
354	10188	4161
355	10221	4134
356	10250	4106
357	10281	4078
358	10310	4049
359	10329	4017
360	10360	3989
361	10393	3962
362	10407	3927
363	10424	3894
364	10448	3864
365	10471	3833
366	10500	3805
367	10532	3777
368	10563	3750
369	10583	3718
370	10615	3690
371	10630	3657
372	10653	3627
373	10671	3595
374	10694	3564
375	10713	3533
376	10762	3511
377	10798	3485
378	10825	3456
379	10843	3424
380	10871	3395
381	10910	3370
382	10925	3337
383	10940	3305
384	10969	3276
385	10994	3247
386	11021	3218
387	11048	3189
388	11073	3159
389	11098	3130
390	11120	3099
391	11131	3066
392	11162	3039
393	11175	3006
394	11191	2975
395	11201	2941
396	11209	2908
397	11216	2874
398	11230	2842
399	11271	2817
400	11326	2796
401	11360	2769
402	11380	2739
403	11398	2708
404	11429	2680
405	11446	2650
406	11470	2621
407	11503	2593
408	11529	2565
409	11567	2539
410	11593	2510
411	11625	2483
412	11648	2453
413	11667	2423
414	11680	2392
415	11723	2367
416	11741	2337
417	11763	2307
418	11791	2279
419	11829	2253
420	11866	2226
421	11882	2196
422	11901	2166
423	11918	2136
424	11962	2111
425	11996	2083
426	12008	2052
427	12047	2026
428	12084	1999
429	12106	1970
430	12130	1942
431	12144	1911
432	12154	1880
433	12162	1849
434	12170	1818
435	12179	1787
436	12187	1757
437	12221	1730
438	12269	1704
439	12300	1677
440	12330	1649
441	12366	1622
442	12394	1594
443	12418	1566
444	12442	1537
445	12462	1508
446	12498	1481
447	12516	1452
448	12545	1424
449	12579	1397
450	12618	1371
451	12637	1342
452	12661	1313
453	12683	1285
454	12720	1258
455	12742	1229
456	12774	1201
457	12794	1173
458	12809	1144
459	12841	1116
460	12861	1088
461	12886	1059
462	12920	1032
463	12962	1005
464	12982	977
465	13015	949
466	13042	921
467	13061	893
468	13081	864
469	13097	836
470	13113	807
471	13123	778
472	13156	751
473	13177	722
474	13199	694
475	13226	666
476	13242	638
477	13256	610
478	13268	581
479	13278	553
480	13287	524
481	13314	497
482	13349	469
483	13372	442
484	13404	414
485	13444	387
486	13470	359
487	13504	332
488	13530	304
489	13557	276
490	13577	248
491	13607	221
492	13625	193
493	13650	165
494	13686	138
495	13707	110
496	13739	82
497	13761	55
498	13781	27
499	13798	0
